NAME	TITLE	SCORE	
KIAA0895	NA	0.3630106	
TSPY8	NA	0.3626911	
FAM72B	NA	0.36267713	
RND3	NA	0.36259487	
ETV4	NA	0.36259383	
RSPH14	NA	0.36257467	
CFAP94	NA	0.36248437	
C3orf70	NA	0.36244562	
CLSPN	NA	0.36243993	
ST6GAL2	NA	0.3623227	
SUGCT	NA	0.362317	
MEX3B	NA	0.3623098	
ARFGEF3	NA	0.36218956	
HJV	NA	0.362098	
C12orf60	NA	0.36204186	
DHDH	NA	0.36197996	
VSTM2L	NA	0.36196676	
LRATD1	NA	0.36168098	
CGNL1	NA	0.3615739	
SPATA4	NA	0.36149746	
MET	NA	0.36146703	
CHRD	NA	0.36125374	
DHODH	NA	0.36111572	
SPRYD4	NA	0.36105624	
NPTX2	NA	0.36105615	
SP8	NA	0.3609758	
TRMT9B	NA	0.36090097	
AC231657.3	NA	0.360717	
SIRT4	NA	0.36047366	
C2orf72	NA	0.36036927	
ZSWIM9	NA	0.3603397	
TRPV6	NA	0.36028647	
AL355102.2	NA	0.360152	
KANK2	NA	0.3601191	
FSIP1	NA	0.36011708	
SCGB1D2	NA	0.35995048	
FAM78B	NA	0.35981247	
AGRN	NA	0.35980806	
COMMD3-BMI1	NA	0.35960895	
HOXA9	NA	0.3594988	
PACSIN3	NA	0.35946813	
SH2D4A	NA	0.35934734	
HSF2BP	NA	0.35931632	
HOXB8	NA	0.3592978	
IL1RAPL1	NA	0.35907012	
C9orf116	NA	0.3588421	
SMIM10L2B	NA	0.35878608	
MAGEA3	NA	0.3587488	
HMGA2	NA	0.3587047	
AC105001.2	NA	0.3584889	
TLE6	NA	0.3584359	
THRB	NA	0.3583677	
KCNJ4	NA	0.3583305	
CGN	NA	0.35796365	
NOTUM	NA	0.35795143	
ABLIM2	NA	0.35794616	
C15orf65	NA	0.35792112	
CXorf58	NA	0.35781932	
ETNPPL	NA	0.35765302	
RNF112	NA	0.3575938	
GABBR2	NA	0.35754162	
KRT9	NA	0.35739535	
PRKD1	NA	0.35726818	
DEFB107A	NA	0.35725677	
SHC2	NA	0.35719156	
TTLL9	NA	0.35714263	
GPC5	NA	0.3569127	
HES1	NA	0.3568047	
CCN1	NA	0.35677025	
AC008878.1	NA	0.35673812	
GRK4	NA	0.35659173	
TRIM46	NA	0.3565495	
C5orf38	NA	0.35651946	
GPR158	NA	0.35647285	
EN2	NA	0.35633504	
PKDCC	NA	0.3560801	
PACRG	NA	0.35597143	
BDKRB2	NA	0.35590607	
KRT80	NA	0.3558558	
CADM4	NA	0.355849	
TTK	NA	0.35537943	
TMEM17	NA	0.35533947	
DNAJC12	NA	0.35530928	
KCNK9	NA	0.355111	
GABRB2	NA	0.35510603	
ILDR2	NA	0.35506418	
DEFB128	NA	0.35497934	
SYPL2	NA	0.3549717	
SPRY4	NA	0.3548004	
CACNA1G	NA	0.35477924	
KRT19	NA	0.35468274	
ZNF705G	NA	0.35467815	
PLEKHH3	NA	0.35465845	
NPTX1	NA	0.35463765	
AUNIP	NA	0.35461804	
TOM1L1	NA	0.35457435	
AC004076.1	NA	0.35449895	
TTC23	NA	0.35433742	
CAMSAP3	NA	0.3542829	
CYP39A1	NA	0.35428214	
C5orf49	NA	0.35400534	
BUB1B	NA	0.35389632	
NRDE2	NA	0.35386598	
ZSCAN23	NA	0.35360903	
FGF19	NA	0.3535372	
JADE3	NA	0.35352904	
STARD6	NA	0.35346395	
GOLGA6C	NA	0.35342577	
ZNF771	NA	0.3533315	
PRR20A	NA	0.35302877	
HSPA4L	NA	0.35297373	
MEX3D	NA	0.35294467	
SDC1	NA	0.3527194	
YAP1	NA	0.35270068	
CCDC113	NA	0.352668	
ZNF425	NA	0.35263678	
AP000812.4	NA	0.35259175	
P4HA3	NA	0.35251084	
TMEM45A	NA	0.35247067	
DOCK6	NA	0.35243827	
FANK1	NA	0.35240686	
TXNRD3	NA	0.3523267	
ASB9	NA	0.3522901	
RAD9B	NA	0.3520169	
MAGEA12	NA	0.35198385	
FAM229B	NA	0.3518797	
AC134980.2	NA	0.3518245	
SLC25A53	NA	0.35180452	
RGPD1	NA	0.3518044	
C5orf34	NA	0.35178673	
ARTN	NA	0.35176295	
ZIC1	NA	0.35169873	
GRID1	NA	0.35158566	
IGFBPL1	NA	0.35157877	
DLX6	NA	0.35152704	
TRIM9	NA	0.35115203	
ZNF695	NA	0.35111636	
PTPRK	NA	0.35105845	
CAP2	NA	0.35091862	
C11orf71	NA	0.35090008	
JAG2	NA	0.3508984	
VANGL2	NA	0.35070786	
BSN	NA	0.35068744	
GSC	NA	0.3506347	
ZNF653	NA	0.35049066	
HOXA5	NA	0.35048777	
HUNK	NA	0.35039896	
TP53TG3D	NA	0.35030922	
PGM5	NA	0.35012048	
EMX1	NA	0.3500382	
PNPLA7	NA	0.34997466	
ADAMTS6	NA	0.3498966	
HOXA7	NA	0.3497634	
MNS1	NA	0.34971863	
TBX2	NA	0.34971696	
FZD5	NA	0.34966868	
CSAG1	NA	0.3496674	
STKLD1	NA	0.34960675	
KLHDC9	NA	0.3495961	
HSPB6	NA	0.3494901	
CBLN1	NA	0.3494528	
C2orf73	NA	0.34943765	
DYRK3	NA	0.34943172	
SEMA3F	NA	0.34939063	
RSPH10B2	NA	0.3493085	
TPTEP2-CSNK1E	NA	0.34921274	
TTC29	NA	0.3490622	
CDC45	NA	0.34904918	
AC138696.1	NA	0.3489378	
GLRA2	NA	0.34879676	
SNAP25	NA	0.34869793	
RAI2	NA	0.34847715	
ROR1	NA	0.3483408	
FAM160A1	NA	0.34829035	
KIAA1549	NA	0.34817547	
RPS10-NUDT3	NA	0.34801343	
TSPAN7	NA	0.34780794	
ZBED9	NA	0.34779257	
ANO8	NA	0.34773937	
ACHE	NA	0.34769723	
AL121758.1	NA	0.34764034	
FMC1-LUC7L2	NA	0.34757322	
ZNF470	NA	0.34756833	
HOXC6	NA	0.34749576	
MLXIPL	NA	0.34738076	
EFHB	NA	0.347356	
GPC2	NA	0.34733248	
GALNT18	NA	0.34711802	
CHRNA5	NA	0.34709793	
MBD3L2B	NA	0.34706727	
GGN	NA	0.34699613	
UNC13B	NA	0.34689108	
FKBP7	NA	0.3468454	
SIX4	NA	0.34681728	
NDUFC2-KCTD14	NA	0.3467517	
MCMDC2	NA	0.346583	
SLC6A19	NA	0.34655306	
TSNAXIP1	NA	0.34651446	
ACTC1	NA	0.3464739	
SEMA3B	NA	0.34646776	
DEFB132	NA	0.34641665	
P3H3	NA	0.34640867	
WNT9A	NA	0.3463465	
CAMSAP2	NA	0.34633088	
C20orf144	NA	0.34631678	
NPAS2	NA	0.34608853	
ZNF285	NA	0.34607363	
TMEM232	NA	0.34589082	
NR2F1	NA	0.34579104	
DEPDC7	NA	0.34573895	
ARHGAP39	NA	0.3457021	
TTC23L	NA	0.3456577	
PRY2	NA	0.34558356	
GABRQ	NA	0.34553283	
TNFSF9	NA	0.3455317	
IZUMO4	NA	0.3455249	
CHURC1-FNTB	NA	0.3454843	
DNMT3B	NA	0.34548295	
POMT2	NA	0.3454228	
SHROOM2	NA	0.34536418	
DNAH3	NA	0.3452971	
PYCR1	NA	0.34524506	
TRIM6	NA	0.34520555	
MEIG1	NA	0.34518212	
POLR3G	NA	0.34509522	
FXYD3	NA	0.34506354	
BAMBI	NA	0.3448443	
RIBC2	NA	0.34479338	
ELF3	NA	0.34472272	
GBX2	NA	0.34465596	
ERC2	NA	0.34464416	
FAM3B	NA	0.34454197	
DEPDC4	NA	0.3445274	
SH3PXD2B	NA	0.3445206	
FAM155B	NA	0.34445006	
CHMP4C	NA	0.3443616	
WNT9B	NA	0.34433	
DPYSL5	NA	0.34415674	
ENAH	NA	0.34408256	
NKX6-2	NA	0.34405065	
NUTM1	NA	0.3440432	
PIF1	NA	0.34401968	
CELSR3	NA	0.34397352	
ODF3L2	NA	0.3437267	
MBLAC1	NA	0.34370393	
RAD51AP1	NA	0.34370285	
EGR4	NA	0.3435938	
NPAS4	NA	0.34349704	
GOLGA6L2	NA	0.3434692	
STEAP1	NA	0.3434075	
ZSCAN1	NA	0.34339085	
ZC2HC1C	NA	0.34337336	
POLR1G	NA	0.3433233	
ARHGEF38	NA	0.34317988	
SYN2	NA	0.3431636	
TTC25	NA	0.34315464	
SCRT2	NA	0.3431051	
KASH5	NA	0.34309405	
KCNK5	NA	0.34304723	
UNC5B	NA	0.34295374	
AC008695.1	NA	0.34255806	
CRB3	NA	0.34230268	
ZNF114	NA	0.34215656	
ERVMER34-1	NA	0.3420831	
C19orf44	NA	0.34189156	
TFAP2A	NA	0.34185532	
CTH	NA	0.34185523	
TRIM50	NA	0.34185088	
EMID1	NA	0.3417839	
NSG2	NA	0.3417534	
CNGA4	NA	0.341701	
C6orf52	NA	0.34166703	
CDK1	NA	0.34133035	
S100A7	NA	0.3413056	
CFAP52	NA	0.34110415	
CLGN	NA	0.34092826	
ATRNL1	NA	0.34090802	
KCNB2	NA	0.34086484	
KCNJ11	NA	0.3404525	
TEX19	NA	0.34032136	
BMP2	NA	0.34020114	
EYA2	NA	0.34010488	
AL163636.1	NA	0.33986443	
LRRC55	NA	0.33984637	
BIRC5	NA	0.3397111	
GSTT2B	NA	0.33960915	
DIPK1C	NA	0.33953503	
HMX3	NA	0.33952138	
CDON	NA	0.33943194	
AC092143.1	NA	0.3393488	
ZNF667	NA	0.3392937	
RIMKLA	NA	0.33926907	
C22orf15	NA	0.339161	
NCAPH	NA	0.33901814	
RASA4B	NA	0.3389464	
HOXC5	NA	0.3387621	
P2RX6	NA	0.33876067	
ARHGEF37	NA	0.33854407	
IFT81	NA	0.33852974	
PTPRZ1	NA	0.3384233	
NOS1AP	NA	0.33836088	
HSD11B2	NA	0.33830145	
AMY1C	NA	0.33829919	
EPN3	NA	0.33826503	
CRABP2	NA	0.33820143	
STPG2	NA	0.33810067	
E2F7	NA	0.3380298	
NEXMIF	NA	0.33777824	
ZRANB3	NA	0.33775386	
CFHR1	NA	0.3377406	
AL162231.1	NA	0.3377073	
ZIC5	NA	0.33769703	
LRP11	NA	0.3376825	
MSI1	NA	0.3376723	
RAB40B	NA	0.33765748	
IL17RD	NA	0.33765122	
CALY	NA	0.3375274	
KCNQ2	NA	0.33742896	
ONECUT1	NA	0.33740067	
SNTA1	NA	0.3373961	
DDX25	NA	0.337286	
SORCS2	NA	0.33720514	
RFX8	NA	0.33711097	
NCS1	NA	0.3371036	
COL4A6	NA	0.33695307	
HS3ST4	NA	0.33693323	
DEPDC1	NA	0.33678305	
SLCO2A1	NA	0.3367612	
SLC25A27	NA	0.3366398	
WDR31	NA	0.33658922	
GTSE1	NA	0.33655787	
FGF12	NA	0.3365289	
DIRAS1	NA	0.3364596	
TMC7	NA	0.33642977	
MADCAM1	NA	0.3363721	
CDKL3	NA	0.3363186	
SPA17	NA	0.33629084	
SPESP1	NA	0.3362893	
CCDC148	NA	0.3362792	
RBP1	NA	0.33612362	
DACH1	NA	0.33605587	
TGFB2	NA	0.33599123	
TM4SF1	NA	0.3358051	
H3C6	NA	0.3357979	
GNG12	NA	0.33572742	
PDX1	NA	0.33564258	
FAM83F	NA	0.33560324	
TERT	NA	0.33543465	
OSBPL6	NA	0.3353145	
AC025165.3	NA	0.3352439	
FGF18	NA	0.33523008	
PRR15	NA	0.3350016	
EFCAB2	NA	0.3349705	
TFAP2C	NA	0.33495682	
EMX2	NA	0.33483976	
TEAD3	NA	0.33480078	
KCNT1	NA	0.33468568	
APBB2	NA	0.33465528	
PYGO1	NA	0.33459282	
LHX2	NA	0.33450893	
KIF18A	NA	0.33446366	
PRKG2	NA	0.33442277	
C2orf50	NA	0.33433872	
RIBC1	NA	0.3342891	
OTOP2	NA	0.33425125	
TVP23C-CDRT4	NA	0.33419776	
ZNF625	NA	0.3341965	
MYPOP	NA	0.3340578	
AL139300.1	NA	0.33396035	
OVOL1	NA	0.3339119	
WDR62	NA	0.33382496	
DTL	NA	0.3337524	
MOCOS	NA	0.33371633	
CHL1	NA	0.3335897	
EPHB3	NA	0.33356142	
CABCOCO1	NA	0.33355036	
LIPG	NA	0.33341327	
HRH3	NA	0.3331812	
DEPDC1B	NA	0.333035	
COL26A1	NA	0.33299592	
RIPPLY3	NA	0.332912	
NWD1	NA	0.33288297	
CTTNBP2	NA	0.33254984	
PRAMEF10	NA	0.33251458	
LNP1	NA	0.3325128	
CFAP20DC	NA	0.3324737	
FGF9	NA	0.33244327	
KLK13	NA	0.3324143	
ZNF554	NA	0.33236736	
RPS6KA6	NA	0.33232513	
SLC9A2	NA	0.33222288	
PPFIBP1	NA	0.33210585	
SAC3D1	NA	0.33209676	
ARVCF	NA	0.332074	
STAG3	NA	0.33200374	
GDF5	NA	0.3319889	
TULP2	NA	0.33196378	
NR2F6	NA	0.33196327	
VAX1	NA	0.33177042	
TTC8	NA	0.33174032	
HROB	NA	0.33170372	
ITIH5	NA	0.33152857	
TMEM37	NA	0.33129084	
AMOTL2	NA	0.33108744	
GSX1	NA	0.33095777	
PCDH10	NA	0.33094686	
PHLDA2	NA	0.3306815	
PKMYT1	NA	0.33052576	
SPRY2	NA	0.33050865	
KRT26	NA	0.33049843	
VPREB1	NA	0.33042467	
RHPN2	NA	0.33036748	
CBLC	NA	0.33034876	
KRT27	NA	0.330342	
TERB2	NA	0.33029225	
WDR93	NA	0.3302857	
FNDC4	NA	0.33017266	
SPATA32	NA	0.33015624	
MPP3	NA	0.330071	
GATA6	NA	0.33002198	
CDC25A	NA	0.32993445	
BRIP1	NA	0.32985505	
MALL	NA	0.32983512	
KRT13	NA	0.32975098	
PDLIM3	NA	0.32972598	
LRP6	NA	0.32972422	
DKK1	NA	0.32957077	
SPOCK1	NA	0.32944277	
C1orf116	NA	0.32942548	
NME1-NME2	NA	0.3293912	
PXT1	NA	0.32914543	
SLC7A11	NA	0.32891428	
MBD3L2	NA	0.32889724	
LINC00634	NA	0.32877445	
SPACA9	NA	0.32875794	
SLC6A11	NA	0.32868582	
CCDC83	NA	0.32863116	
CDC42BPG	NA	0.32863027	
FA2H	NA	0.32846218	
NRSN1	NA	0.32831886	
MESP2	NA	0.32825905	
LAMC1	NA	0.32819107	
CADPS	NA	0.32816225	
HOXA6	NA	0.32799768	
KCNC3	NA	0.32796124	
FOXJ1	NA	0.32795775	
C16orf46	NA	0.32793912	
SHC4	NA	0.3278922	
CFAP46	NA	0.32788184	
RCOR2	NA	0.32776755	
CIT	NA	0.32772404	
NDST3	NA	0.3276833	
