NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
WANG_YAP_TAZ_TARGETS	WANG_YAP_TAZ_TARGETS	Details ...	15	0.3758598	1.247416	0.19165727	0.26410756	0.999	3200	tags=40%, list=19%, signal=49%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	36	0.29556048	1.2307223	0.18984772	0.2832808	1.0	4516	tags=36%, list=27%, signal=49%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	180	0.236841	1.2238834	0.084	0.28350124	1.0	7928	tags=56%, list=48%, signal=106%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		189	0.2358773	1.203086	0.091	0.31332397	1.0	8987	tags=60%, list=54%, signal=129%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		57	0.25815135	1.1550181	0.24624625	0.42063007	1.0	8297	tags=65%, list=50%, signal=129%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		192	0.22191186	1.1478612	0.167	0.4233683	1.0	7251	tags=45%, list=44%, signal=78%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		41	0.26047897	1.1214349	0.30040732	0.48149344	1.0	1441	tags=20%, list=9%, signal=21%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		110	0.22743462	1.1184294	0.253	0.47153953	1.0	9454	tags=65%, list=57%, signal=148%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		34	0.26172632	1.0729088	0.39249492	0.5992093	1.0	9610	tags=71%, list=58%, signal=166%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		33	0.26109105	1.0604907	0.38157895	0.6160718	1.0	8243	tags=61%, list=49%, signal=120%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		148	0.2080124	1.0602914	0.353	0.59489816	1.0	3673	tags=25%, list=22%, signal=32%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		139	0.2031443	1.0242252	0.445	0.6900764	1.0	3539	tags=26%, list=21%, signal=33%	
PROSTATE_BASAL_STEM_UP_MARKERS	PROSTATE_BASAL_STEM_UP_MARKERS		17	0.28382787	0.98415554	0.4994618	0.7976713	1.0	9006	tags=71%, list=54%, signal=153%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		186	0.18323347	0.95146066	0.606	0.8779156	1.0	7861	tags=49%, list=47%, signal=92%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		99	0.1705017	0.82921535	0.802	1.0	1.0	5220	tags=31%, list=31%, signal=45%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		98	0.1680583	0.8152237	0.841	1.0	1.0	9819	tags=56%, list=59%, signal=136%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		152	0.15432124	0.789193	0.881	1.0	1.0	7965	tags=44%, list=48%, signal=84%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		183	0.14893763	0.77412254	0.933	1.0	1.0	5497	tags=31%, list=33%, signal=45%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		182	0.14301679	0.73661894	0.96	1.0	1.0	4833	tags=24%, list=29%, signal=33%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		142	0.14343569	0.72574776	0.948	1.0	1.0	7176	tags=42%, list=43%, signal=72%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		191	0.12342043	0.6398438	0.993	1.0	1.0	5981	tags=31%, list=36%, signal=48%	
BASAL_MARKERS	BASAL_MARKERS		48	0.14436686	0.6343711	0.94461226	1.0	1.0	11090	tags=67%, list=67%, signal=199%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		191	0.11802236	0.6118507	0.999	1.0	1.0	4451	tags=20%, list=27%, signal=28%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		186	0.117488265	0.6101538	0.996	1.0	1.0	7439	tags=37%, list=45%, signal=66%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		196	0.10516509	0.5463013	1.0	1.0	1.0	5740	tags=28%, list=34%, signal=42%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		195	0.0989061	0.5182299	1.0	1.0	1.0	8019	tags=40%, list=48%, signal=76%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		130	0.09722084	0.48326123	0.999	1.0	1.0	10931	tags=56%, list=66%, signal=162%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		100	0.084470324	0.4137324	1.0	1.0	1.0	1777	tags=9%, list=11%, signal=10%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		189	0.062193654	0.3252465	1.0	0.9999828	1.0	14271	tags=78%, list=86%, signal=539%	
